iter	Passed	Remaining
401	11153	16591
402	11184	16569
403	11211	16539
404	11234	16505
405	11259	16473
406	11286	16443
407	11312	16414
408	11336	16381
409	11361	16350
410	11385	16316
411	11414	16290
412	11437	16255
413	11464	16227
414	11487	16193
415	11516	16167
416	11546	16143
417	11571	16111
418	11597	16081
419	11621	16048
420	11646	16017
421	11674	15989
422	11700	15960
423	11729	15934
424	11754	15903
425	11778	15870
426	11805	15841
427	11831	15812
428	11856	15780
429	11880	15748
430	11911	15725
431	11936	15694
432	11965	15668
433	11989	15636
434	12016	15607
435	12044	15580
436	12070	15550
437	12094	15517
438	12121	15489
439	12145	15457
440	12169	15425
441	12196	15397
442	12221	15366
443	12243	15332
444	12267	15300
445	12292	15268
446	12317	15238
447	12344	15210
448	12372	15183
449	12396	15150
450	12419	15118
451	12445	15089
452	12472	15061
453	12498	15030
454	12524	15002
455	12548	14970
456	12579	14946
457	12612	14925
458	12641	14900
459	12666	14869
460	12693	14840
461	12719	14811
462	12746	14783
463	12774	14756
464	12801	14728
465	12831	14703
466	12859	14677
467	12886	14649
468	12913	14621
469	12937	14588
470	12962	14558
471	12987	14528
472	13012	14497
473	13035	14465
474	13067	14442
475	13094	14414
476	13122	14388
477	13152	14363
478	13177	14332
479	13205	14305
480	13229	14274
481	13252	14242
482	13276	14211
483	13300	14179
484	13324	14149
485	13352	14121
486	13381	14095
487	13409	14069
488	13441	14046
489	13472	14022
490	13502	13997
491	13527	13967
492	13555	13940
493	13586	13916
494	13613	13888
495	13643	13863
496	13672	13837
497	13701	13811
498	13733	13788
499	13765	13765
500	13791	13736
501	13818	13708
502	13853	13688
503	13880	13660
504	13913	13637
505	13939	13609
506	13964	13579
507	13989	13549
508	14015	13519
509	14044	13493
510	14069	13463
511	14094	13434
512	14122	13406
513	14150	13379
514	14175	13349
515	14200	13320
516	14232	13296
517	14257	13266
518	14282	13236
519	14308	13207
520	14332	13177
521	14356	13146
522	14381	13116
523	14407	13087
524	14434	13060
525	14465	13035
526	14496	13011
527	14521	12981
528	14546	12951
529	14571	12921
530	14597	12893
531	14626	12866
532	14655	12840
533	14692	12821
534	14750	12820
535	14787	12801
536	14814	12773
537	14845	12747
538	14876	12723
539	14905	12697
540	14933	12669
541	14959	12640
542	14987	12613
543	15018	12588
544	15047	12562
545	15077	12537
546	15103	12507
547	15127	12477
548	15152	12448
549	15182	12422
550	15212	12396
551	15243	12371
552	15267	12341
553	15291	12310
554	15315	12279
555	15346	12255
556	15370	12224
557	15396	12195
558	15421	12166
559	15449	12139
560	15475	12110
561	15506	12085
562	15530	12054
563	15555	12025
564	15585	11999
565	15610	11969
566	15641	11944
567	15668	11917
568	15696	11889
569	15728	11865
570	15758	11839
571	15780	11808
572	15807	11779
573	15828	11747
574	15857	11720
575	15883	11691
576	15907	11661
577	15935	11634
578	15962	11606
579	15988	11577
580	16014	11549
581	16045	11523
582	16073	11496
583	16095	11465
584	16121	11436
585	16153	11411
586	16181	11384
587	16204	11354
588	16229	11324
589	16253	11294
590	16276	11264
591	16301	11234
592	16326	11205
593	16355	11179
594	16384	11152
595	16414	11126
596	16441	11098
597	16465	11068
598	16495	11043
599	16523	11015
600	16548	10986
601	16584	10964
602	16610	10935
603	16633	10905
604	16662	10878
605	16687	10849
606	16712	10820
607	16738	10791
608	16766	10764
609	16794	10737
610	16822	10710
611	16851	10683
612	16880	10657
613	16907	10629
614	16934	10601
615	16962	10573
616	16984	10543
617	17009	10514
618	17033	10484
619	17061	10456
620	17086	10428
621	17120	10404
622	17143	10374
623	17170	10346
624	17194	10316
625	17220	10288
626	17251	10262
627	17278	10234
628	17306	10207
629	17335	10181
630	17365	10155
631	17391	10126
632	17419	10099
633	17442	10069
634	17472	10043
635	17500	10015
636	17527	9987
637	17553	9959
638	17576	9930
639	17600	9900
640	17626	9871
641	17651	9843
642	17675	9813
643	17705	9787
644	17735	9761
645	17761	9733
646	17786	9704
647	17811	9675
648	17835	9646
649	17861	9617
650	17888	9590
651	17914	9561
652	17940	9533
653	17965	9504
654	17991	9476
655	18023	9451
656	18050	9423
657	18073	9394
658	18101	9366
659	18130	9340
660	18160	9314
661	18187	9285
662	18214	9258
663	18238	9229
664	18265	9201
665	18292	9173
666	18317	9145
667	18340	9115
668	18365	9086
669	18389	9057
670	18416	9029
671	18440	9000
672	18467	8972
673	18492	8944
674	18516	8915
675	18539	8885
676	18565	8857
677	18595	8831
678	18619	8802
679	18646	8774
680	18672	8746
681	18698	8718
682	18719	8688
683	18749	8661
684	18774	8633
685	18805	8607
686	18834	8581
687	18866	8555
688	18898	8530
689	18924	8502
